175,Warehouses and Wholesale Stores,4bf58dd8d48988d1f8941735,Furniture / Home Store,D
176,Wedding and Bridal,4bf58dd8d48988d11a951735,Bridal Shop,B
177,Services and Supplies,4bf58dd8d48988d11a951735,Bridal Shop,D
178,Business and Strategy Consulting,4bf58dd8d48988d125941735,Tech Startup,D
179,Industrial Machinery and Vehicles,4eb1c1623b7b52c0e1adc2ec,Car Dealership,D
180,Logging and Sawmills,4eb1bea83b7b6f98df247e06,Factory,C
181,Metals,4d4b7105d754a06375d81259,Professional & Other Places,D
182,Packaging,4d4b7105d754a06375d81259,Professional & Other Places,F
183,Petroleum,4d4b7105d754a06375d81259,Professional & Other Places,F
184,Plastics,4d4b7105d754a06375d81259,Professional & Other Places,D
185,Refrigeration and Ice,4d4b7105d754a06375d81259,Professional & Other Places,F
186,Rubber,4d4b7105d754a06375d81259,Professional & Other Places,F
187,Scientific,4f4531b14b9074f6e4fb0103,Laboratory,C
188,Security and Safety,4bf58dd8d48988d12e941735,Police Station,C
189,Telecommunication Services,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,D
190,Textiles,4eb1bea83b7b6f98df247e06,Factory,C
191,Water and Waste Management,4d4b7105d754a06375d81259,Professional & Other Places,F
192,Welding,4d4b7105d754a06375d81259,Professional & Other Places,F
193,Advertising and Marketing,4d4b7105d754a06375d81259,Professional & Other Places,D
194,Advertising Agencies and Media Buyers,4d4b7105d754a06375d81259,Professional & Other Places,D
195,Creative Services,4d4b7105d754a06375d81259,Professional & Other Places,D
196,Direct Mail and Email Marketing Services,4d4b7105d754a06375d81259,Professional & Other Places,D
197,Market Research and Consulting,4d4b7105d754a06375d81259,Professional & Other Places,D
198,Online Advertising,4d4b7105d754a06375d81259,Professional & Other Places,D
199,Print,4f04ad622fb6e1c99f3db0b9,Newsstand,D
200,Promotional Items,5032856091d4c4b30a586d63,Radio Station,F
201,Public Relations,4bf58dd8d48988d124941735,Office,C
202,Search Engine Marketing and Optimization,4d4b7105d754a06375d81259,Professional & Other Places,D
203,Writing,4d4b7105d754a06375d81259,Professional & Other Places,D
204,Agriculture and Forestry,4bf58dd8d48988d162941735,Other Great Outdoors,C
205,Art Restoration,4d4b7105d754a06375d81259,Professional & Other Places,D
206,Audiovisual,4bf58dd8d48988d122951735,Electronics Store,C
207,Automation and Control Systems,4d4b7105d754a06375d81259,Professional & Other Places,F
208,Chemicals and Gasses,4eb1bea83b7b6f98df247e06,Factory,D
209,Computers,4bf58dd8d48988d122951735,Electronics Store,B
210,Corporate HQ,4d4b7105d754a06375d81259,Professional & Other Places,D
211,Electrical Equipment,4bf58dd8d48988d122951735,Electronics Store,C
212,Employment Agencies,4d4b7105d754a06375d81259,Professional & Other Places,C
213,Engineering,4d4b7105d754a06375d81259,Professional & Other Places,D
214,Entertainment,4bf58dd8d48988d1f1931735,General Entertainment,B
215,Media,4bf58dd8d48988d1f1931735,General Entertainment,C
216,Equipment Rental,4bf58dd8d48988d1ef941735,Rental Car Location,C
217,Events and Event Planning,4bf58dd8d48988d1f1931735,General Entertainment,C
218,ATMs,4bf58dd8d48988d10a951735,Bank,B
219,Financial,503287a291d4c4b30a586d65,Financial or Legal Service,B
220,Accounting and Bookkeeping,503287a291d4c4b30a586d65,Financial or Legal Service,B
221,Banking and Finance,4bf58dd8d48988d10a951735,Bank,A
222,Business Brokers and Franchises,503287a291d4c4b30a586d65,Financial or Legal Service,B
223,Check Cashing,503287a291d4c4b30a586d65,Financial or Legal Service,C
224,Collections,503287a291d4c4b30a586d65,Financial or Legal Service,D
225,Financial Planning and Investments,503287a291d4c4b30a586d65,Financial or Legal Service,B
226,Fund Raising,503287a291d4c4b30a586d65,Financial or Legal Service,D
227,Loans and Mortgages,503287a291d4c4b30a586d65,Financial or Legal Service,B
228,Stock Brokers,503287a291d4c4b30a586d65,Financial or Legal Service,B
229,Student Aid and Grants,4bf58dd8d48988d197941735,College Administrative Building,C
230,Food and Beverage,4bf58dd8d48988d1f9941735,Food & Drink Shop,A
231,Catering,4d4b7105d754a06374d81259,Food,B
232,Distribution,4d4b7105d754a06375d81259,Professional & Other Places,F
233,Funeral Services,4f4534884b9074f6e4fb0174,Funeral Home,A
234,Geological,4bf58dd8d48988d162941735,Other Great Outdoors,D
235,Home Improvement,4bf58dd8d48988d1f8941735,Furniture / Home Store,B
236,Architects,4d4b7105d754a06375d81259,Professional & Other Places,D
237,Carpenters,4d4b7105d754a06375d81259,Professional & Other Places,D
238,Carpet and Flooring,4bf58dd8d48988d1f8941735,Furniture / Home Store,C
239,Contractors,4d4b7105d754a06375d81259,Professional & Other Places,D
240,Bathrooms,4bf58dd8d48988d1f8941735,Furniture / Home Store,C
241,Deck and Patio,4eb1c0253b7b52c0e1adc2e9,Garden Center,C
242,Sewer,4d4b7105d754a06375d81259,Professional & Other Places,F
243,Doors and Windows,4bf58dd8d48988d1f8941735,Furniture / Home Store,C
244,Electricians,4d4b7105d754a06375d81259,Professional & Other Places,D
245,Fences,4eb1c0253b7b52c0e1adc2e9,Garden Center,C
246,Hardware and Services,4bf58dd8d48988d112951735,Hardware Store,B
247,Heating,4bf58dd8d48988d1f8941735,Furniture / Home Store,C
248,Home Appliances,4bf58dd8d48988d1f8941735,Furniture / Home Store,B
249,Home Inspection Services,4d4b7105d754a06375d81259,Professional & Other Places,D
250,Housewares,4bf58dd8d48988d1f6941735,Department Store,B
251,Interior Design,4bf58dd8d48988d1f8941735,Furniture / Home Store,C
252,Kitchens,4bf58dd8d48988d1f8941735,Furniture / Home Store,B
253,Landscaping and Gardeners,4eb1c0253b7b52c0e1adc2e9,Garden Center,C
254,Lighting Fixtures,4bf58dd8d48988d1f8941735,Furniture / Home Store,B
255,Mobile Homes,4e67e38e036454776db1fb3a,Residence,C
256,Movers,4d4b7105d754a06375d81259,Professional & Other Places,C
257,Painting,4d4b7105d754a06375d81259,Professional & Other Places,C
258,Pest Control,4d4b7105d754a06375d81259,Professional & Other Places,C
259,Plumbing,4d4b7105d754a06375d81259,Professional & Other Places,C
260,Pools and Spas,4bf58dd8d48988d15e941735,Pool,B
261,Roofers,4d4b7105d754a06375d81259,Professional & Other Places,C
262,Storage,4f04b1572fb6e1c99f3db0bf,Storage Facility,A
263,Swimming Pool Maintenance and Services,4bf58dd8d48988d15e941735,Pool,B
264,Tree Service,4d4b7105d754a06375d81259,Professional & Other Places,C
265,Upholstery,4bf58dd8d48988d1f8941735,Furniture / Home Store,B
266,Human Resources,4d4b7105d754a06375d81259,Professional & Other Places,D
267,Import and Export,4d4b7105d754a06375d81259,Professional & Other Places,F
268,Leather,4bf58dd8d48988d103951735,Clothing Store,D
269,Legal,503287a291d4c4b30a586d65,Financial or Legal Service,B
270,Credit Counseling and Bankruptcy Services,503287a291d4c4b30a586d65,Financial or Legal Service,B
271,Immigration,503287a291d4c4b30a586d65,Financial or Legal Service,F
272,Insurance,4d4b7105d754a06375d81259,Professional & Other Places,D
273,Machine Shops,4eb1bea83b7b6f98df247e06,Factory,C
274,Management,4d4b7105d754a06375d81259,Professional & Other Places,F
275,Manufacturing,4eb1bea83b7b6f98df247e06,Factory,C
276,Paper,4bf58dd8d48988d121951735,Paper / Office Supplies Store,B
277,Personal Care,4bf58dd8d48988d110951735,Salon / Barbershop,C
278,Dry Cleaning,4d4b7105d754a06375d81259,Professional & Other Places,C
279,Hair Removal,4bf58dd8d48988d110951735,Salon / Barbershop,B
280,Hair Salons and Barbers,4bf58dd8d48988d110951735,Salon / Barbershop,A
281,Manicures and Pedicures,4f04aa0c2fb6e1c99f3db0b8,Nail Salon,A
282,Massage Clinics and Therapists,4bf58dd8d48988d1ed941735,Spa / Massage,C
283,Piercing,4bf58dd8d48988d1de931735,Tattoo Parlor,B
284,Skin Care,4bf58dd8d48988d1ed941735,Spa / Massage,B
285,Spas,4bf58dd8d48988d1ed941735,Spa / Massage,A
286,Tanning Salons,4d1cf8421a97d635ce361c31,Tanning Salon,A
287,Tattooing,4bf58dd8d48988d1de931735,Tattoo Parlor,A
288,Printing,4d4b7105d754a06375d81259,Professional & Other Places,C
289,Professional Cleaning,4d4b7105d754a06375d81259,Professional & Other Places,C
290,Publishing,4d4b7105d754a06375d81259,Professional & Other Places,D
291,Real Estate,5032885091d4c4b30a586d66,Real Estate Office,A
292,Property Management,5032885091d4c4b30a586d66,Real Estate Office,B
293,Real Estate Agents,5032885091d4c4b30a586d66,Real Estate Office,A
294,Real Estate Appraiser,5032885091d4c4b30a586d66,Real Estate Office,A
295,Real Estate Development and Title Companies,5032885091d4c4b30a586d66,Real Estate Office,A
296,Apartments,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),A
297,Boarding Houses,4e67e38e036454776db1fb3a,Residence,B
298,Building and Land Surveyors,5032885091d4c4b30a586d66,Real Estate Office,C
299,Commercial Real Estate,5032885091d4c4b30a586d66,Real Estate Office,B
300,Corporate Housing,5032885091d4c4b30a586d66,Real Estate Office,C
301,Renewable Energy,4d4b7105d754a06375d81259,Professional & Other Places,F
302,Repair Services,4d4b7105d754a06375d81259,Professional & Other Places,D
303,Shipping,4d4b7105d754a06375d81259,Professional & Other Places,D
304,Tailors,5032781d91d4c4b30a586d5b,Tailor Shop,A
305,Veterinarians,4d954af4a243a5684765b473,Veterinarian,A
306,Web Design and Development,4d4b7105d754a06375d81259,Professional & Other Places,C
307,Wholesale,4d4b7105d754a06375d81259,Professional & Other Places,F
308,Social,4bf58dd8d48988d11a941735,Other Nightlife,D
309,Arts,4d4b7104d754a06370d81259,Arts & Entertainment,B
310,Art Dealers and Galleries,4bf58dd8d48988d1e2931735,Art Gallery,B
311,Museums,4bf58dd8d48988d181941735,Museum,A
312,Bars,4bf58dd8d48988d116941735,Bar,A
313,Hotel Lounges,4bf58dd8d48988d121941735,Lounge,B
314,Jazz and Blues Cafes,4bf58dd8d48988d1e7931735,Jazz Club,B
315,Sports Bars,4bf58dd8d48988d11d941735,Sports Bar,A
316,Wine Bars,4bf58dd8d48988d123941735,Wine Bar,A
317,Entertainment,4bf58dd8d48988d1e5931735,Music Venue,D
318,Adult,4bf58dd8d48988d109951735,Lingerie Store,D
319,Arcades and Amusement Parks,4bf58dd8d48988d1e1931735,Arcade,B
320,Billiard and Pool,4bf58dd8d48988d1e3931735,Pool Hall,B
321,Bingo,4bf58dd8d48988d132941735,Church,D
322,Bowling,4bf58dd8d48988d1e4931735,Bowling Alley,B
323,Carnivals,4eb1daf44b900d56c88a4600,Fair,C
324,Casinos and Gaming,4bf58dd8d48988d17c941735,Casino,A
325,Circuses,4bf58dd8d48988d1f1931735,General Entertainment,D
326,Dance Halls and Saloons,4bf58dd8d48988d121941735,Lounge,C
327,Fairgrounds and Rodeos,4eb1daf44b900d56c88a4600,Fair,B
328,Go Carts,4bf58dd8d48988d1f4931735,Racetrack,C
329,Hookah Lounges,4bf58dd8d48988d119941735,Hookah Bar,A
330,Karaoke,4bf58dd8d48988d120941735,Karaoke Bar,B
331,Miniature Golf,4bf58dd8d48988d1e6941735,Golf Course,B
332,Movie Theatres,4bf58dd8d48988d17f941735,Movie Theater,A
333,Music and Show Venues,4bf58dd8d48988d1e5931735,Music Venue,A
334,Night Clubs,4bf58dd8d48988d11f941735,Nightclub,A
335,Party Centers,4bf58dd8d48988d171941735,Event Space,C
336,Psychics and Astrologers,4d4b7105d754a06375d81259,Professional & Other Places,F
337,Ticket Sales,4bf58dd8d48988d1f1931735,General Entertainment,C
338,Food and Dining,4bf58dd8d48988d1c4941735,Restaurant,B
339,Bagels and Donuts,4bf58dd8d48988d179941735,Bagel Shop,B
340,Bakeries,4bf58dd8d48988d16a941735,Bakery,A
341,Breweries,50327c8591d4c4b30a586d5d,Brewery,A
342,Cafes,4bf58dd8d48988d16d941735,Caf̩,A
343,Dessert,4bf58dd8d48988d1d0941735,Dessert Shop,C
344,Ice Cream Parlors,4bf58dd8d48988d1c9941735,Ice Cream Shop,A
345,Internet Cafes,4bf58dd8d48988d1f0941735,Internet Cafe,A
346,Juice Bars and Smoothies,4bf58dd8d48988d112941735,Juice Bar,A
347,Restaurants,4bf58dd8d48988d1c4941735,Restaurant,A
348,American,4bf58dd8d48988d14e941735,American Restaurant,A
349,Barbecue,4bf58dd8d48988d1df931735,BBQ Joint,A
350,Buffets,4bf58dd8d48988d1c4941735,Restaurant,A
351,Burgers,4bf58dd8d48988d16c941735,Burger Joint,A
352,Chinese,4bf58dd8d48988d145941735,Chinese Restaurant,A
353,Delis,4bf58dd8d48988d146941735,Deli / Bodega,A
354,Diners,4bf58dd8d48988d147941735,Diner,A
355,Fast Food,4bf58dd8d48988d16e941735,Fast Food Restaurant,A
356,French,4bf58dd8d48988d10c941735,French Restaurant,A
357,Indian,4bf58dd8d48988d10f941735,Indian Restaurant,A
358,Italian,4bf58dd8d48988d110941735,Italian Restaurant,A
359,Japanese,4bf58dd8d48988d111941735,Japanese Restaurant,A
360,Korean,4bf58dd8d48988d113941735,Korean Restaurant,A
361,Mexican,4bf58dd8d48988d1c1941735,Mexican Restaurant,A
362,Middle Eastern,4bf58dd8d48988d115941735,Middle Eastern Restaurant,A
363,Pizza,4bf58dd8d48988d1ca941735,Pizza Place,A
364,Seafood,4bf58dd8d48988d1ce941735,Seafood Restaurant,A
365,Steakhouses,4bf58dd8d48988d1cc941735,Steakhouse,A
366,Sushi,4bf58dd8d48988d1d2941735,Sushi Restaurant,A
367,Thai,4bf58dd8d48988d149941735,Thai Restaurant,A
368,Vegan and Vegetarian,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,A
369,Social Clubs,4bf58dd8d48988d11f941735,Nightclub,D
370,Wineries and Vineyards,4bf58dd8d48988d14b941735,Winery,B
371,Zoos,4bf58dd8d48988d17b941735,Zoo,A
372,Sports and Recreation,4f4528bc4b90abdf24c9de85,Athletic & Sport,B
373,Athletic Fields,4f4528bc4b90abdf24c9de85,Athletic & Sport,C
374,Baseball,4bf58dd8d48988d1e8941735,Baseball Field,B
375,Batting Ranges,4bf58dd8d48988d1e8941735,Baseball Field,D
376,Basketball,4bf58dd8d48988d1e1941735,Basketball Court,B
377,Combat Sports,4f4528bc4b90abdf24c9de85,Athletic & Sport,B
378,Cycling,4bf58dd8d48988d115951735,Bike Shop,C
379,Dance,4bf58dd8d48988d134941735,Dance Studio,C
380,Equestrian,4eb1baf03b7b2c5b1d4306ca,Stables,D
381,Football,4bf58dd8d48988d189941735,Football Stadium,B
382,Golf,4bf58dd8d48988d1e6941735,Golf Course,B
383,Gun Ranges,4f2a23984b9023bd5841ed2c,Moving Target,C
384,Gymnastics,4f4528bc4b90abdf24c9de85,Athletic & Sport,C
385,Gyms and Fitness Centers,4bf58dd8d48988d175941735,Gym / Fitness Center,A
386,Hockey,4bf58dd8d48988d185941735,Hockey Arena,B
387,Outdoors,4d4b7105d754a06377d81259,Outdoors & Recreation,A
388,Campgrounds and RV Parks,4bf58dd8d48988d1e4941735,Campground,A
389,Hiking,4bf58dd8d48988d159941735,Hiking Trail,B
390,Hot Air Balloons,4d4b7105d754a06379d81259,Travel & Transport,D
391,Hunting and Fishing,50aaa5234b90af0d42d5de12,Hunting Supply,B
392,Rock Climbing,50328a4b91d4c4b30a586d6b,Rock Climbing Spot,B
393,Skydiving,4d4b7105d754a06377d81259,Outdoors & Recreation,C
394,Paintball,5032829591d4c4b30a586d5e,Paintball Field,B
395,Personal Trainers,4bf58dd8d48988d175941735,Gym / Fitness Center,C
396,Race Tracks,4bf58dd8d48988d1f4931735,Racetrack,A
397,Racquet Sports,4f4528bc4b90abdf24c9de85,Athletic & Sport,C
398,Racquetball,4bf58dd8d48988d1f2941735,Sporting Goods Shop,F
399,Tennis,4e39a891bd410d7aed40cbc2,Tennis,A
400,Recreation Centers,4d4b7105d754a06377d81259,Outdoors & Recreation,D
401,Running,4bf58dd8d48988d106941735,Track,D
402,Skating,4bf58dd8d48988d168941735,Skating Rink,B
403,Snow Sports,4bf58dd8d48988d1e9941735,Ski Area,C
404,Soccer,4bf58dd8d48988d15f941735,Field,D
